House|$495  per week |15 Dulendella Street, 
House|$495  per week |
House|$450 Per Week |33 Torino Street, 
House|$450 Per Week |
House|$360 per week |38 Pioneer street, 
House|$360 per week |
Apartment / Unit / Flat|$345 |6/21 Grasspan Street, 
Apartment / Unit / Flat|$345 |
House|$470 |138 Crowley Street, 
House|$470 |
House|$440 |19 Tabbil Street, 
House|$440 |
House|$430 |38 Murphy Road, 
House|$430 |
House|$400 per week |27 Illawong Street, 
House|$400 per week |
House|$365 Per Week |115 Crowley Street, 
House|$365 Per Week |
Apartment / Unit / Flat|$340 per week |3/76 Gillies Street, 
Apartment / Unit / Flat|$340 per week |
Apartment / Unit / Flat|$260 Weekly |4/32 Grasspan Street, 
Apartment / Unit / Flat|$260 Weekly |
Apartment / Unit / Flat|$335 per week |5/18 Seeney Street, 
Apartment / Unit / Flat|$335 per week |
Apartment / Unit / Flat|APPLICATIONS CLOSED |51 Pioneer Street, 
Apartment / Unit / Flat|APPLICATIONS CLOSED |
Apartment / Unit / Flat|APPLICATIONS CLOSED |5 Midyim Street, 
Apartment / Unit / Flat|APPLICATIONS CLOSED |
Apartment / Unit / Flat|$350 |5/14 Battersby Street, 
Apartment / Unit / Flat|$350 |
House|$440 |127 Murphy Road, 
House|$440 |
House|$390 PER WEEK |21 Jennings Street, 
House|$390 PER WEEK |
Villa|$400 |
Villa|$400 |
Apartment / Unit / Flat|$380.00 per week |1/19 Grasspan Road, 
Apartment / Unit / Flat|$380.00 per week |
Townhouse|$375 / pw |2/68 Gillies Street, 
Townhouse|$375 / pw |
House|$495  per week |15 Dulendella Street, 
House|$495  per week |
House|$450 Per Week |33 Torino Street, 
House|$450 Per Week |
House|$360 per week |38 Pioneer street, 
House|$360 per week |
Apartment / Unit / Flat|$345 |6/21 Grasspan Street, 
Apartment / Unit / Flat|$345 |
House|$470 |138 Crowley Street, 
House|$470 |
House|$440 |19 Tabbil Street, 
House|$440 |
House|$430 |38 Murphy Road, 
House|$430 |
House|$400 per week |27 Illawong Street, 
House|$400 per week |
House|$365 Per Week |115 Crowley Street, 
House|$365 Per Week |
Apartment / Unit / Flat|$340 per week |3/76 Gillies Street, 
Apartment / Unit / Flat|$340 per week |
Apartment / Unit / Flat|$260 Weekly |4/32 Grasspan Street, 
Apartment / Unit / Flat|$260 Weekly |
Apartment / Unit / Flat|$335 per week |5/18 Seeney Street, 
Apartment / Unit / Flat|$335 per week |
Apartment / Unit / Flat|APPLICATIONS CLOSED |51 Pioneer Street, 
Apartment / Unit / Flat|APPLICATIONS CLOSED |
Apartment / Unit / Flat|APPLICATIONS CLOSED |5 Midyim Street, 
Apartment / Unit / Flat|APPLICATIONS CLOSED |
Apartment / Unit / Flat|$350 |5/14 Battersby Street, 
Apartment / Unit / Flat|$350 |
House|$440 |127 Murphy Road, 
House|$440 |
House|$390 PER WEEK |21 Jennings Street, 
House|$390 PER WEEK |
Villa|$400 |
Villa|$400 |
Apartment / Unit / Flat|$380.00 per week |1/19 Grasspan Road, 
Apartment / Unit / Flat|$380.00 per week |
Townhouse|$375 / pw |2/68 Gillies Street, 
Townhouse|$375 / pw |
