Apartment / Unit / Flat|$385.00 |2/49 Salt Street, 
Apartment / Unit / Flat|$385.00 |
Apartment / Unit / Flat|$215 Weekly |2/34 Le Geyt Street, 
Apartment / Unit / Flat|$215 Weekly |
Townhouse|$795 per week |1/16 Oakwal Terrace, 
Townhouse|$795 per week |
House|$400 per week |116 Maygar Street, 
House|$400 per week |
Apartment / Unit / Flat|$390 per week |10/3 Thondley Street, 
Apartment / Unit / Flat|$390 per week |
Apartment / Unit / Flat|$325 per week |4/93 Maygar Street, 
Apartment / Unit / Flat|$325 per week |
House|$470 |73a Grantson Street, 
House|$470 |
House|$800 |58 Le Geyt Street, 
House|$800 |
Townhouse|$800 |1/55 Palmer Street, 
Townhouse|$800 |
House|$720 |54 Le Geyt Street, 
House|$720 |
House|$580.00 per week |9 Rougham Street, 
House|$580.00 per week |
Apartment / Unit / Flat|$550.00 per week |3/54 Eildon Road, 
Apartment / Unit / Flat|$550.00 per week |
House|$550 |71 Grantson Street, 
House|$550 |
House|$480 per week |360 Lutwyche Road, 
House|$480 per week |
Apartment / Unit / Flat|2 Weeks Free! $440 Per Week |18/23 Fuller Street, 
Apartment / Unit / Flat|2 Weeks Free! $440 Per Week |
Apartment / Unit / Flat|$450 |1/14 Gallway Street, 
Apartment / Unit / Flat|$450 |
Apartment / Unit / Flat|$430 |402/21 Victoria Street, 
Apartment / Unit / Flat|$430 |
Apartment / Unit / Flat|NEW! $410 per week |161/26 Le Geyt Street, 
Apartment / Unit / Flat|NEW! $410 per week |
House|$335 p/w |238 Lutwyche Road, 
House|$335 p/w |
Apartment / Unit / Flat|$320 |2/15 Cox Street, 
Apartment / Unit / Flat|$320 |
Apartment / Unit / Flat|$385.00 |2/49 Salt Street, 
Apartment / Unit / Flat|$385.00 |
Apartment / Unit / Flat|$215 Weekly |2/34 Le Geyt Street, 
Apartment / Unit / Flat|$215 Weekly |
Townhouse|$795 per week |1/16 Oakwal Terrace, 
Townhouse|$795 per week |
House|$400 per week |116 Maygar Street, 
House|$400 per week |
Apartment / Unit / Flat|$390 per week |10/3 Thondley Street, 
Apartment / Unit / Flat|$390 per week |
Apartment / Unit / Flat|$325 per week |4/93 Maygar Street, 
Apartment / Unit / Flat|$325 per week |
House|$470 |73a Grantson Street, 
House|$470 |
House|$800 |58 Le Geyt Street, 
House|$800 |
House|$720 |54 Le Geyt Street, 
House|$720 |
House|$580.00 per week |9 Rougham Street, 
House|$580.00 per week |
Apartment / Unit / Flat|$550.00 per week |3/54 Eildon Road, 
Apartment / Unit / Flat|$550.00 per week |
House|$550 |71 Grantson Street, 
House|$550 |
House|$480 per week |360 Lutwyche Road, 
House|$480 per week |
Apartment / Unit / Flat|2 Weeks Free! $440 Per Week |18/23 Fuller Street, 
Apartment / Unit / Flat|2 Weeks Free! $440 Per Week |
Apartment / Unit / Flat|$450 |1/14 Gallway Street, 
Apartment / Unit / Flat|$450 |
Apartment / Unit / Flat|$430 |402/21 Victoria Street, 
Apartment / Unit / Flat|$430 |
Apartment / Unit / Flat|NEW! $410 per week |161/26 Le Geyt Street, 
Apartment / Unit / Flat|NEW! $410 per week |
House|$335 p/w |238 Lutwyche Road, 
House|$335 p/w |
Apartment / Unit / Flat|$320 |2/15 Cox Street, 
Apartment / Unit / Flat|$320 |
Apartment / Unit / Flat|$320 / wk |4/8 Blackmore Street, 
Apartment / Unit / Flat|$320 / wk |
Apartment / Unit / Flat|$385.00 |2/49 Salt Street, 
Apartment / Unit / Flat|$385.00 |
Apartment / Unit / Flat|$215 Weekly |2/34 Le Geyt Street, 
Apartment / Unit / Flat|$215 Weekly |
Townhouse|$795 per week |1/16 Oakwal Terrace, 
Townhouse|$795 per week |
House|$400 per week |116 Maygar Street, 
House|$400 per week |
Apartment / Unit / Flat|$390 per week |10/3 Thondley Street, 
Apartment / Unit / Flat|$390 per week |
Apartment / Unit / Flat|$325 per week |4/93 Maygar Street, 
Apartment / Unit / Flat|$325 per week |
House|$470 |73a Grantson Street, 
House|$470 |
House|$800 |58 Le Geyt Street, 
House|$800 |
House|$720 |54 Le Geyt Street, 
House|$720 |
House|$580.00 per week |9 Rougham Street, 
House|$580.00 per week |
Apartment / Unit / Flat|$550.00 per week |3/54 Eildon Road, 
Apartment / Unit / Flat|$550.00 per week |
House|$550 |71 Grantson Street, 
House|$550 |
House|$480 per week |360 Lutwyche Road, 
House|$480 per week |
Apartment / Unit / Flat|2 Weeks Free! $440 Per Week |18/23 Fuller Street, 
Apartment / Unit / Flat|2 Weeks Free! $440 Per Week |
Apartment / Unit / Flat|$450 |1/14 Gallway Street, 
Apartment / Unit / Flat|$450 |
Apartment / Unit / Flat|$430 |402/21 Victoria Street, 
Apartment / Unit / Flat|$430 |
Apartment / Unit / Flat|NEW! $410 per week |161/26 Le Geyt Street, 
Apartment / Unit / Flat|NEW! $410 per week |
House|$335 p/w |238 Lutwyche Road, 
House|$335 p/w |
Apartment / Unit / Flat|$320 |2/15 Cox Street, 
Apartment / Unit / Flat|$320 |
Apartment / Unit / Flat|$320 / wk |4/8 Blackmore Street, 
Apartment / Unit / Flat|$320 / wk |
